Company Name,Industry,Country,Description,Category
Zomato,,IN,"Zomatos mission statement is better food for more people. Since our inception in 2010, we have grown tremendously, both in scope and scale - and emerged as Indias most trusted brand during the pandemic, along with being one of the largest hyperlocal delivery networks in the country.

Today, Zomato represents a wide range of cultures through its diversified 5000+ team members, 3.5 lakh+ delivery partners, and our biggest collective of the finest restaurant partners. We are grateful that our business is able to provide upward social and economic movement for millions of households  of our delivery partners, as well as restaurant staff. We think of all of us as one big family!

Our passion is driven by purpose and we take immense pride in our initiative Feeding India, one of Indias largest not-for-profits working to ensure that nobody in India goes to bed hungry. As of now, Feeding India provides over 150,000 nutritious meals to the underprivileged every day.

In April 2020, Feeding India ran one of the largest food distribution drives in the world during the first wave of COVID, and distributed 78 million meals to daily wagers across the length and breadth of the country.

During the second wave of COVID-19, Feeding India was again the first to act. We were able to source over 9,000 oxygen concentrators and distributed them for free to government hospitals across the country. This helped save millions of lives during one of the worst humanitarian crises faced by India in the recent times.

Were innovating hard to make last-mile delivery carbon neutral, to eliminate the use of plastic packaging, create meaningful opportunities in the gig economy, and to feed our countrys ever-growing appetite for high-quality, affordable, and hygienic food, one delivery at a time!",
101Reporters,Media Production,IN,"101Reporters.com, our unique news platform that sources original stories from grassroots reporters across the country, then customises and markets them to the national and international media. We are the only organisation operating in this unexplored media space. 

The platform works as an interface between independent reporters and publishers for sale of stories. Stories sourced from our reporters on ground is edited and verified by a team of qualified and experience editors before sending them to publishers. We have partnered with 14 publications.

We already have presence in more than 250 districts in the country. In coming 6months, we are hoping to spread our network to all 600 districts in the country.",
1digitalstack.ai,Advertising Services,SG,"1DigitalStack provides technology for brand growth on Ecommerce marketplaces. We help brands dominate Ecommerce by leveraging marketplace data & AI-enabled media management. Our technology ensures a virtuous cycle of growth for Ecommerce business by combining publicly available data & brand proprietary data. 
Our tech product includes 2 solution suites: Revstack & Reviniti - to help brands with actionable insights & media strategy execution. We also provide analyst support as per client requirements.
We work on all Ecommerce marketplaces across the world, crawling more than 2 TB of data every day. Our clients are present across 11+ countries, including India, US, Germany, UK, Japan, UAE, Indonesia,  Thailand, Malaysia, Vietnam, Philippines & South Korea. 
We have helped large brands like HP, Phillips, Nestle, Glanbia, etc. & D2C brands on Ecommerce with a typical client engagement delivering 2X5X growth in market share over two quarters with an approx. 28% reduction in cost of sales.",
1K,,IN,"1K is a hyperlocal omnichannel grocery chain focused on fulfilling the aspirations of 'Real Bharat'.

We believe that to create wow micro-experiences for the consumers, kirana entrepreneurs need the means to use technology as an enabler. With the changing consumer aspirations, the kirana entrepreneurs also aspire for more. 

Fuelled by the ambition of building Bharat's first omnichannel distribution network that brings consumers' aspirations closer to them, 1K is blazing the path to modernizing the traditional Kirana stores.",
21North Europ Assistance,,SG,"21North leverages technology and innovation to revolutionise the Aftermarket Services in the Automobile Industry.

Through a unique product stack integrated with AI and ML, we not only enable our clients to provide seamless service to their customers but also digitise the entire process to enhance convenience, efficiency and transparency.  

Alongside offering Pick-up and Drop-off by trained professionals following all safety standards, we provide your customers with an easy way to track their vehicles at all stages, 24x7 Roadside assistance, detailed billing and an instant feedback & rating system. Ogranizations can also track, analyse and report the number of customers served, invoice amount, etc. 

So put us in the driver's seat and watch your profits drive through the roof!

If you are enthusiastic, energetic, and eloquent, nothing can stop you to apply for a position in a progressive organization, 21North EA. To apply for a full-time position or internship opportunity, mail us your resume at - careers@21north.in

Take a look at how 21North leverages tech and innovation: https://youtu.be/G-wma-W77og

Follow us on Facebook (@21NorthEuropAssistance) and Twitter (@21north_in)",
Ad2pro media solutions (2adpro),Advertising Services,IN,"2adpro is a unique global design and technology services company that develops and delivers creative content, cost efficient implementation, and technology solutions to the worlds leading brands and media companies.

Our comprehensive Omni-channel solutions

Strategy - Business innovation, Process consulting, Social media strategy
Creative - Multichannel creative Concepts, Publication/Site design, App design
Digital - Ad product development, Audience management, Programmatic

Creative production - Digital display advertising (desktop, tablet, mobile) | Rich media | Interactive ads | Microsites/landing pages/e-mail | Video editing | Image services | Content management | Transcreation | Catalog production | Adaptations | Translations | Print ads | Collateral

Tech platform (JDX) - Work | Store | Distribute | Analyze

Ad operations - Ad trafficking | Quality Assurance | Reporting | Optimization

Our presence span across INDIA, US, UK and ANZ",
3Dexter,,IN,"3Dexter is a new-age educational technology company that has pioneered a 3D printing curriculum for educational institutions to enable students to develop visualization, problem solving, creative thinking, and spatial design skills; these skills are essential in most engineering, design and data science careers, and are considered the skills of the future.  

At 3Dexter we provide:

Classroom Sessions: The classroom model focuses on one-to-one learning outcome. The first of its kind in India, our 3D Printing curriculum encourages experimentation by making students work on engaging projects

Workshops: 3Dexter Workshops inspire enthusiasts to explore the world of third dimension. Workshops are designed for both basic and advanced categories. 

3D Printer Hardware and Lab Installation: Our team has created high quality 3D Printers for educational as well as industrial use. These reliable printers are cost effective and can be customized on demand. 

3D Printing Services:  We have been printing prototypes for various industries and our technology is advanced and reliable.",
4Fin,,IN,4Fin is a Lending Platform catering to financial needs of MSMEs.,
56 Secure,,IN,"56, is India's only connected security platform on a mission to create a safer world by making security effective & accessible to all. 

Currently, physical security is broken and works in silos with security surveillance systems. People feel unsafe when there is uncertainty. This compromises your security and safety. 

That's why we created a revolutionary app that works in real time and forms an active security system. Powered by deep technology, our platform integrates cutting-edge AI security cameras with real-time patrol guards to ensure peoples peace of mind with just one tap. With 56, you can manage the safety and security of all your loved ones and properties through one app. 

We deploy a network of Safety Agents around Bengaluru to ensure they can attend to an emergency SOS within 3 mins of you pressing the SOS button on our app. Our team of professionals have solved 5000+ SOS requests and have impacted 10000+ lives.

Our product is tailored to provide a customized security experience to individuals, homes, apartments, and businesses on the go. Our holistic system makes security simple yet effective. With 24x7 surveillance and real-time physical intervention under your control, 56 Secure lets you manage your security at your convenience. 

Ready to experience security like never before.
#GoFearlesswith56",
91mobiles,,IN,"91mobiles.com is the largest gadget site in India. We provide information & interactive tools to help people decide which gadget to buy and where to buy it from.
91mobiles is visited by over 40 million gadget enthusiasts every month, and ranks among the top 150 websites in India. We have a team of 100 people based in our offices in Gurgaon (HO), Delhi and Chennai.

We work with most of the leading electronics & telecom brands (Samsung, Oppo, Vivo, Nokia, OnePlus, etc.), as well as leading eCommerce companies (Amazon, Flipkart, TataCliq), to provide them with innovative ways to reach 91mobiles' gadget enthusiast community, to promote their products & offers.

Studies show that 60% of all gadgets sold are researched online before purchase. 91mobiles mission is to become the starting point & the best source for this research, in India and abroad.",
99tests,,IN,"Our Background

99tests is a crowd-sourced software testing platform that enables people to build beautiful software products. Testing in the cloud gives product owners the ability to scale their testing effort & get on-demand access to QA teams. A high quality product can thus be released in a shorter time.
With 20,000+ testers in over 150+ countries, we have helped our clients more than 80,000 bugs. We helped 200+ companies across the globe, make their apps more awesome! 

Our Philosophy

We believe in Think Passion. People who make a difference by building products that they care about, people who care about their users, about their code and the impact they have. 

Our Platform 

99tests platform gives software product developers the ability to compress long testing cycles to short bursts. The first advantage is that, a large number of defects can be uncovered in a short time, enabling a quicker time-to-market.
Another advantage is the on-demand access to global community of testers. Since there is a direct correlation between the number of testers testing a software & the number of defects that can be uncovered, software entrepreneurs can add many skilled testers to test their product instantly.  All this without hiring more people.
Lastly we follow a pay-for-results model. Unlike outsourcing, where payment is based on number of hours clocked in, testers at 99tests are rewarded based on the results of their testing effort. Allowing you to monitor & consume the testing effort in a result-oriented manner.

Join Us

We are always happy to hear from self-motivated professionals who are passionate about their craft. As part of the team, you will work with some of the biggest companies, test the latest applications and access the latest software tools. Feel free to reach out to us at contact@99tests.com 

Connect With Us

Twitter: https://twitter.com/99tests
Facebook: https://www.facebook.com/99tests
Careers: http://careers.99tests.com/",
aapkapainter.com,Consumer Services,IN,"aapkapainter is an online curated service delivery marketplace for painting and related services.
Idea of aapkapainter is rooted in removing the pain from painting and is built on an aim to streamline the entire painting process and standardize the experience of getting spaces painted, through technology integration.

Service delivery is what we focus at and an awesome painting experience is what we provide our customers, all the time. We believe in creating happy homes on both sides of marketplace.

We are on a mission to revolutionize the way homes are getting painted.",
ABIBA Systems,,IN,"Founded in 2006, ABIBA Systems is a leading provider of Advanced Big Data Analytics. Our mission is to provide the most flexible, powerful, scalable and user friendly platforms for Business Intelligence, Advanced Analytics, Campaign Management, Identity, Loyalty and more - offered either on-premises or in the cloud.


Our Technology Focus   Business Intelligence, Data mining, Advanced Analytics, Big Data, Mobile Social Network Analysis, Spatio- temporal Analytics.

Products and Solutions
1. TeleView (Enterprise BI),
2. Champion (Customer Analytics- Segmentation and Classification, Social Media Analytics, Silent Roamer   Analytics, What-if Simulator, Network Optimization and Performance Analytics, Social Network Analytics),
3. CampPro (Campaign Management)
4. Security & Crime Analytics
5. Social Media Analytics(SOMA)

Awards & Accolades

	Winner of NASSCOM Emerge 50 2012 Awards 
	Ranked 6th at the Deloitte Technology Fast 50 2012 Awards
	Winner  of TiE Lumis Awards 2012  for Entrepreneurial Excellence
	Inducted into 'Marketing Hall of Fame' by Paul Writer at the CMO Canclave 2011
	CampPro ranked among the top 10 Cool Enterprise Products 2011 by Silicon India
	Ranked among Top BI & Analytics Companies in India by DataQuest
	Winner Red Herring Awards Asia 2010",
Acadza Technologies Pvt. Ltd,,IN,"We are an ed-tech company that provides effective solutions for JEE & NEET aspirants with practical tools. Established in 2020, The Founder Anshul Singhal along with our super experienced professors has produced 50+ IITians & doctors from all around the country. They help the aspirants every step of the way to gain their spot in esteemed industries such as IIT Mumbai, Delhi, and more. They have designed Acadza in a way that it thinks from the students' perspective and strives to relieve the stress of the aspirants. 
The superior interface for learners can be easily customized for the tests, learning, duration, difficulty, and more. Acadza can also predicts the college according to your percentile and scores.  
We thrive to form a learning experience that is effortless and fun for the future of the country.
Acadza has formed the learning experience manageable for the aspirants. It equips learners with a sheet of formulas and guidance to retain the formulas better and faster. With different tools and assignments, Acadza educates learners till the time the aspirants gain their confidence and master the subject. Theres no limitation on learning, practicing, and revising.",
